                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5346,                 2.2937,                 1.5431,                0.35275,                0.55864,                0.41257,                0.22883,                 1.4377,                 1.5428,                 1.5164,             0.00033307,             0.00033307,             0.00033307
                      2,                 1.4917,                 1.7681,                 1.5076,                0.43668,                0.56586,                0.47617,                0.27605,                 1.4001,                 1.4578,                 1.5143,             0.00064991,             0.00064991,             0.00064991
                      3,                 1.4621,                 1.6966,                 1.4892,                0.43972,                0.63799,                0.51546,                0.31034,                 1.3282,                 1.3745,                 1.4501,             0.00095025,             0.00095025,             0.00095025
                      4,                 1.4319,                 1.6417,                 1.4641,                0.41499,                0.63156,                0.48082,                0.27927,                 1.3421,                 1.4326,                 1.4522,             0.00092575,             0.00092575,             0.00092575
                      5,                 1.3819,                 1.5452,                 1.4211,                0.47359,                0.58965,                0.52624,                0.33043,                  1.229,                 1.2668,                 1.3651,               0.000901,               0.000901,               0.000901
                      6,                 1.3322,                 1.4677,                 1.3865,                0.54599,                0.63764,                0.58322,                0.38438,                  1.165,                 1.2005,                 1.3071,             0.00087625,             0.00087625,             0.00087625
                      7,                 1.3088,                 1.4281,                 1.3771,                0.55157,                0.67875,                0.61365,                0.40758,                 1.1696,                 1.1448,                 1.3188,              0.0008515,              0.0008515,              0.0008515
                      8,                 1.2923,                 1.3777,                 1.3596,                0.53571,                0.68286,                0.62151,                0.41778,                 1.1364,                 1.1115,                 1.2917,             0.00082675,             0.00082675,             0.00082675
                      9,                 1.2723,                 1.3438,                 1.3509,                0.60266,                0.72858,                0.67881,                0.46373,                 1.1022,                 1.0406,                 1.2711,               0.000802,               0.000802,               0.000802
                     10,                 1.2558,                 1.3095,                 1.3377,                0.66957,                0.71075,                0.71974,                0.50192,                 1.0895,                0.98625,                 1.2521,             0.00077725,             0.00077725,             0.00077725
                     11,                 1.2348,                 1.2642,                 1.3236,                0.64425,                0.74314,                 0.7191,                0.49577,                 1.0753,                0.99298,                 1.2445,              0.0007525,              0.0007525,              0.0007525
                     12,                 1.2082,                  1.242,                 1.3086,                0.69328,                0.74488,                0.75374,                0.53453,                 1.0564,                0.93824,                 1.2297,             0.00072775,             0.00072775,             0.00072775
                     13,                 1.2019,                 1.2183,                 1.2995,                0.67479,                0.73142,                0.73458,                0.50564,                 1.0713,                0.95824,                 1.2422,               0.000703,               0.000703,               0.000703
                     14,                 1.1887,                 1.1774,                 1.2942,                0.73545,                0.72903,                0.79049,                  0.548,                 1.0539,                0.90866,                 1.2401,             0.00067825,             0.00067825,             0.00067825
                     15,                 1.1792,                 1.1472,                 1.2849,                0.72606,                0.77965,                0.80231,                0.57049,                 1.0413,                0.87516,                 1.2147,              0.0006535,              0.0006535,              0.0006535
                     16,                 1.1686,                 1.1227,                 1.2863,                0.76439,                0.77215,                0.82567,                0.59654,                 1.0198,                0.84211,                 1.2005,             0.00062875,             0.00062875,             0.00062875
                     17,                 1.1515,                 1.0995,                 1.2706,                0.77215,                0.76966,                0.82706,                0.59815,                 1.0205,                0.83557,                  1.193,               0.000604,               0.000604,               0.000604
                     18,                 1.1366,                 1.0707,                 1.2595,                0.78546,                0.80201,                0.83827,                0.61775,                 0.9838,                0.79924,                 1.1803,             0.00057925,             0.00057925,             0.00057925
                     19,                 1.1199,                 1.0362,                 1.2478,                0.80943,                0.79938,                0.85806,                0.63417,                0.99669,                0.79115,                 1.1762,              0.0005545,              0.0005545,              0.0005545
                     20,                 1.1173,                 1.0133,                 1.2468,                0.82299,                0.79786,                0.86305,                0.63815,                0.97763,                0.76486,                  1.167,             0.00052975,             0.00052975,             0.00052975
                     21,                 1.1005,                0.99356,                 1.2341,                0.83096,                0.82801,                0.88452,                0.65219,                0.98836,                0.73653,                  1.175,               0.000505,               0.000505,               0.000505
                     22,                 1.0945,                0.97646,                 1.2281,                0.80981,                0.83386,                0.88396,                0.66684,                 0.9559,                0.73072,                 1.1585,             0.00048025,             0.00048025,             0.00048025
                     23,                 1.0773,                0.94828,                 1.2196,                0.86643,                0.83052,                0.90464,                0.67952,                0.97191,                0.69573,                 1.1629,              0.0004555,              0.0004555,              0.0004555
                     24,                 1.0641,                0.92681,                 1.2163,                 0.8507,                0.84504,                0.90166,                0.68117,                0.95973,                0.69096,                 1.1544,             0.00043075,             0.00043075,             0.00043075
                     25,                 1.0538,                0.90647,                 1.2016,                0.87854,                0.85398,                0.91161,                0.68973,                0.95152,                0.65577,                 1.1457,               0.000406,               0.000406,               0.000406
