                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6109,                 7.9829,                 6.4269,                0.51722,                0.29553,                0.23621,                0.14773,                 1.3958,                 5.8081,                 6.2063,             0.00033304,             0.00033304,             0.00033304
                      2,                 1.6278,                 6.7969,                 6.5772,                0.89385,                0.23465,                0.26128,                0.16448,                 1.3583,                 5.4265,                 5.9989,             0.00063339,             0.00063339,             0.00063339
                      3,                 1.5699,                 6.5194,                 6.4109,                0.90521,                0.23748,                0.25699,                0.16589,                 1.2942,                 5.2639,                 5.8498,             0.00090073,             0.00090073,             0.00090073
                      4,                 1.5183,                 6.2533,                 6.3538,                0.91158,                0.24369,                0.29007,                0.19469,                 1.2259,                 4.7185,                 5.5967,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4814,                 5.8842,                  6.219,                0.91805,                0.27507,                0.30576,                0.20152,                 1.2125,                 4.2977,                 5.6598,               0.000802,               0.000802,               0.000802
                      6,                 1.4465,                 5.6503,                 6.1225,                0.56448,                0.40227,                0.32241,                0.22832,                 1.1209,                 3.9129,                 5.3024,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.4094,                 5.4934,                 6.0414,                0.92989,                0.27478,                0.31708,                0.22156,                 1.1301,                 3.9575,                 5.4154,               0.000703,               0.000703,               0.000703
                      8,                 1.3741,                 5.2922,                 5.9543,                0.74189,                 0.3641,                0.37205,                0.27552,                 1.0905,                 3.8445,                 5.2988,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.3499,                 5.1956,                 5.9192,                0.93573,                0.28091,                0.33843,                0.24198,                 1.0826,                 3.7327,                 5.2433,               0.000604,               0.000604,               0.000604
                     10,                 1.3413,                 4.9762,                 5.8519,                0.76712,                 0.3753,                0.38549,                0.27462,                 1.0827,                 3.6316,                 5.1981,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.2172,                 4.2441,                 5.5759,                0.56132,                0.36239,                0.33383,                0.23836,                 1.0856,                 3.8161,                 5.2538,               0.000505,               0.000505,               0.000505
                     12,                 1.2024,                 4.1041,                 5.5128,                0.57169,                0.38915,                 0.3553,                0.25909,                 1.0697,                 3.5903,                 5.2124,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.1767,                  4.011,                 5.4531,                0.57286,                0.42247,                0.35501,                0.26286,                 1.0437,                 3.7315,                 5.1503,               0.000406,               0.000406,               0.000406
