                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5229,                 2.6419,                 1.5189,                0.42743,                0.57247,                0.46652,                0.26484,                  1.348,                 1.5858,                  1.426,             0.00033307,             0.00033307,             0.00033307
                      2,                 1.4404,                 1.8476,                 1.4561,                0.46264,                0.58498,                0.51861,                0.31728,                 1.2913,                  1.416,                 1.4073,             0.00063342,             0.00063342,             0.00063342
                      3,                 1.4172,                 1.6764,                  1.447,                0.47212,                0.60784,                 0.5168,                0.31591,                 1.2476,                 1.4118,                 1.3701,             0.00090076,             0.00090076,             0.00090076
                      4,                 1.3777,                 1.5893,                 1.4175,                 0.5467,                0.61307,                0.57723,                0.36502,                 1.2067,                 1.2598,                 1.3511,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.3328,                  1.489,                 1.3867,                0.52998,                0.68227,                0.60435,                0.39595,                 1.1687,                 1.1677,                 1.3195,               0.000802,               0.000802,               0.000802
                      6,                 1.2915,                  1.421,                 1.3594,                0.56266,                0.66097,                 0.6142,                0.40236,                 1.1787,                 1.1849,                 1.3113,              0.0007525,              0.0007525,              0.0007525
                      7,                  1.269,                 1.3629,                 1.3464,                0.65919,                0.67705,                0.69329,                0.47529,                    1.1,                 1.0758,                 1.2543,               0.000703,               0.000703,               0.000703
                      8,                 1.2444,                 1.3175,                 1.3291,                0.61914,                0.70874,                0.70493,                0.48966,                 1.0824,                 1.0184,                 1.2536,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.2232,                 1.2742,                 1.3171,                0.66143,                0.71963,                0.74296,                 0.5275,                 1.0537,                0.98962,                 1.2326,               0.000604,               0.000604,               0.000604
                     10,                 1.2054,                 1.2317,                 1.3087,                0.71885,                0.73362,                0.77577,                0.55044,                 1.0471,                0.92003,                 1.2354,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.0812,                0.99617,                 1.2536,                 0.7191,                0.76693,                 0.8024,                0.56891,                 1.0375,                 0.8993,                 1.2246,               0.000505,               0.000505,               0.000505
                     12,                 1.0437,                0.93567,                  1.224,                0.78086,                0.75722,                0.82342,                0.59927,                  1.012,                0.86109,                 1.1994,              0.0004555,              0.0004555,              0.0004555
                     13,                  1.021,                0.89059,                 1.2007,                0.76963,                0.78668,                0.83945,                0.61999,                0.98459,                0.83047,                 1.1784,               0.000406,               0.000406,               0.000406
                     14,                 0.9938,                0.84113,                 1.1817,                0.78437,                0.80409,                0.84854,                0.62004,                0.99411,                0.81601,                 1.1949,              0.0003565,              0.0003565,              0.0003565
                     15,                0.97567,                0.80473,                 1.1716,                0.80914,                0.79141,                0.86583,                0.65116,                0.96709,                0.78006,                 1.1694,               0.000307,               0.000307,               0.000307
                     16,                0.94734,                0.77671,                 1.1483,                0.82929,                0.81514,                0.88833,                0.67222,                0.94628,                0.72964,                 1.1514,              0.0002575,              0.0002575,              0.0002575
                     17,                0.92397,                 0.7361,                 1.1366,                0.79961,                0.83735,                0.88364,                0.68394,                0.90705,                0.72402,                 1.1266,               0.000208,               0.000208,               0.000208
                     18,                0.90454,                0.69314,                 1.1221,                0.84142,                0.83432,                0.89601,                0.68837,                0.92111,                0.70993,                 1.1334,              0.0001585,              0.0001585,              0.0001585
                     19,                0.88285,                0.66797,                 1.1054,                0.84877,                0.85103,                0.90817,                0.70889,                0.89315,                 0.6687,                 1.1206,               0.000109,               0.000109,               0.000109
                     20,                0.86178,                0.64905,                 1.0933,                0.86241,                0.85335,                0.91054,                 0.7107,                 0.8964,                0.66252,                 1.1189,               5.95e-05,               5.95e-05,               5.95e-05
