                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3902,                 3.0265,                 1.4353,                0.89596,                0.23877,                0.28176,                0.17306,                 1.2615,                 1.6903,                 1.3524,             0.00033254,             0.00033254,             0.00033254
                      2,                 1.2906,                 1.7407,                 1.3412,                0.89484,                0.24299,                0.28743,                0.18495,                 1.2245,                 1.2913,                 1.2865,             0.00059995,             0.00059995,             0.00059995
                      3,                 1.2818,                 1.4073,                  1.324,                0.90958,                0.24999,                 0.3023,                0.20372,                 1.1942,                  1.199,                 1.2687,             0.00080137,             0.00080137,             0.00080137
                      4,                 1.2313,                 1.2379,                  1.295,                0.90411,                0.26721,                0.30544,                0.20743,                 1.1548,                 1.1545,                 1.2647,               0.000703,               0.000703,               0.000703
                      5,                 1.1829,                 1.1439,                  1.263,                0.54457,                0.34581,                0.31365,                0.22051,                 1.1008,                 1.0958,                 1.2098,               0.000604,               0.000604,               0.000604
                      6,                 1.1314,                 1.0715,                 1.2305,                 0.6116,                 0.3808,                0.34085,                0.24052,                 1.0802,                0.99012,                 1.1878,               0.000505,               0.000505,               0.000505
                      7,                 1.1019,                 1.0201,                 1.2037,                0.59497,                0.39039,                0.36892,                0.26885,                 1.0436,                0.97018,                 1.1777,               0.000406,               0.000406,               0.000406
                      8,                 1.0666,                0.96179,                 1.1859,                0.61654,                0.40798,                0.37037,                0.27014,                 1.0199,                0.94356,                 1.1634,               0.000307,               0.000307,               0.000307
                      9,                 1.0214,                0.91728,                 1.1525,                0.63017,                0.41498,                0.38583,                0.28831,                 0.9774,                0.86448,                 1.1305,               0.000208,               0.000208,               0.000208
                     10,                0.98731,                0.87243,                 1.1321,                0.64454,                0.43139,                0.40089,                0.29976,                0.96876,                0.83395,                 1.1279,               0.000109,               0.000109,               0.000109
